T1,T2,T3,T4,t1_t2,t1_t3,t1_t4,t2_t3,t2_t4,t3_t4
-10220.8,-10220.5,-10220.8,-10220.6,-0.2999999999992724,0,-0.1999999999989086,0.2999999999992724,0.1000000000003638,-0.1999999999989086
-10215.5,-10215.4,-10215.3,-10215.2,-0.1000000000003638,-0.2000000000007276,-0.2999999999992724,-0.1000000000003638,-0.1999999999989086,-0.09999999999854481
-18165.6,-18165.4,-18165.4,-18165.3,-0.19999999999708962,-0.19999999999708962,-0.2999999999992724,0,-0.10000000000218279,-0.10000000000218279
-2253.37,-2253.14,-2253.25,-2253.18,-0.2300000000000182,-0.11999999999989086,-0.19000000000005457,0.11000000000012733,0.03999999999996362,-0.07000000000016371
-5166.02,-5166.39,-5166.29,-5166.39,0.36999999999989086,0.26999999999952706,0.36999999999989086,-0.1000000000003638,0,0.1000000000003638
-7849.52,-7849.25,-7849.48,-7849.44,-0.27000000000043656,-0.040000000000873115,-0.08000000000083674,0.22999999999956344,0.18999999999959982,-0.03999999999996362
-10441,-10440.7,-10441,-10440.9,-0.2999999999992724,0,-0.1000000000003638,0.2999999999992724,0.1999999999989086,-0.1000000000003638
-10823.2,-10823.3,-10823.2,-10823.2,0.09999999999854481,0,0,-0.09999999999854481,-0.09999999999854481,0
-8966.36,-8965.39,-8965.94,-8965.48,-0.9700000000011642,-0.42000000000007276,-0.8800000000010186,0.5500000000010914,0.09000000000014552,-0.4600000000009459
-7207.05,-7207.07,-7207.26,-7207.18,0.019999999999527063,0.21000000000003638,0.13000000000010914,0.19000000000050932,0.11000000000058208,-0.07999999999992724
-7566.03,-7565.92,-7565.94,-7565.86,-0.10999999999967258,-0.09000000000014552,-0.17000000000007276,0.019999999999527063,-0.06000000000040018,-0.07999999999992724
-4630.03,-4630.12,-4630.08,-4630.1,0.09000000000014552,0.0500000000001819,0.07000000000061846,-0.03999999999996362,-0.019999999999527063,0.020000000000436557
-7737.95,-7737.71,-7737.82,-7737.65,-0.23999999999978172,-0.13000000000010914,-0.3000000000001819,0.10999999999967258,-0.06000000000040018,-0.17000000000007276
-4489.82,-4489.6,-4489.78,-4489.76,-0.21999999999934516,-0.03999999999996362,-0.05999999999949068,0.17999999999938154,0.15999999999985448,-0.019999999999527063
-17117.6,-17117.7,-17117.6,-17117.5,0.10000000000218279,0,-0.09999999999854481,-0.10000000000218279,-0.2000000000007276,-0.09999999999854481
